,precision,recall,f1-score,support,AUC,AP
浏阳河,0.944954128440367,0.9537037037037037,0.9493087557603687,108.0,1.0,1.0
杜康,0.9396551724137931,0.9316239316239316,0.9356223175965666,117.0,1.0,1.0
金六福,0.9139784946236559,0.9042553191489362,0.9090909090909091,94.0,1.0,1.0
老窖二曲,0.96875,0.9117647058823529,0.9393939393939394,102.0,1.0,1.0
剑南春,0.926829268292683,0.926829268292683,0.926829268292683,82.0,1.0,1.0
北京二锅头,0.9454545454545454,0.9454545454545454,0.9454545454545454,110.0,1.0,0.9999999999999999
大明,0.9423076923076923,0.98989898989899,0.9655172413793104,99.0,1.0,1.0
丰谷,0.9662921348314607,0.9662921348314607,0.9662921348314607,89.0,1.0,1.0
全兴,0.95,0.9595959595959596,0.9547738693467337,99.0,1.0,1.0
青酒,0.9405940594059405,0.95,0.945273631840796,100.0,1.0,1.0
accuracy,0.944,0.944,0.944,0.944,,
macro avg,0.9438815495770138,0.9439418558432562,0.9437556612987315,1000.0,,
weighted avg,0.9441190470176526,0.944,0.9439020671996033,1000.0,,
