,precision,recall,f1-score,support,AUC,AP
Liuyanghe,0.8571428571428571,0.8490566037735849,0.8530805687203792,212.0,0.9999947237347516,0.9999556046376754
Dukang,0.8914285714285715,0.8642659279778393,0.8776371308016878,361.0,1.0,1.0
Jinliufu,0.8629629629629629,0.8629629629629629,0.8629629629629629,270.0,1.0,1.0
Laojiaoerqu,0.7751937984496124,0.8333333333333334,0.8032128514056225,120.0,0.9986835106382979,0.980997322315246
Jiannanchun,0.8884120171673819,0.8734177215189873,0.8808510638297873,237.0,0.9999784601908427,0.9998392923579666
Beijingerguotou,0.890625,0.8636363636363636,0.8769230769230769,198.0,0.9977438087870941,0.9805624642395008
Daming,0.8602941176470589,0.9069767441860465,0.8830188679245283,129.0,0.997766812093189,0.9719499798024277
Fenggu,0.8910256410256411,0.879746835443038,0.8853503184713376,158.0,0.9983507194986188,0.9832314363231512
Quanxing,0.9180327868852459,0.875,0.896,192.0,0.9986806323746312,0.9862359512051779
Qingjiu,0.7872340425531915,0.9024390243902439,0.8409090909090909,123.0,0.9972148948980166,0.9753224423421358
accuracy,0.869,0.869,0.869,0.869,,
macro avg,0.8622351795262524,0.87108355172224,0.8659945931948473,2000.0,,
weighted avg,0.8706463643285774,0.869,0.8693583503888934,2000.0,,
